             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
4.5000000e+004;    1289.1394;       0.0052;    -0.025949;     0.000001;    1288.7054;     -33.4486;   3732009487
4.0000000e+004;    1290.9673;       0.0044;    -0.024880;     0.000003;    1290.5677;     -32.1161;   3732009488
3.0000000e+004;    1295.3235;       0.0064;    -0.022674;     0.000001;    1294.9905;     -29.3678;   3732009489
2.0000000e+004;    1301.2145;       0.0029;    -0.020240;     0.000001;    1300.9480;     -26.3353;   3732009489
1.0000000e+004;    1310.5936;       0.0065;    -0.017251;     0.000001;    1310.3986;     -22.6085;   3732009490
9.0000000e+003;    1311.9718;       0.0025;    -0.016889;     0.000001;    1311.7847;     -22.1572;   3732009491
8.0000000e+003;    1313.5090;       0.0018;    -0.016502;     0.000001;    1313.3302;     -21.6749;   3732009492
7.0000000e+003;    1315.1810;       0.0008;    -0.016084;     0.000000;    1315.0109;     -21.1531;   3732009493
6.0000000e+003;    1317.1164;       0.0041;    -0.015640;     0.000002;    1316.9553;     -20.5986;   3732009494
5.0000000e+003;    1319.3161;       0.0030;    -0.015145;     0.000000;    1319.1648;     -19.9799;   3732009495
4.0000000e+003;    1321.9267;       0.0020;    -0.014593;     0.000001;    1321.7859;     -19.2907;   3732009495
3.0000000e+003;    1325.1937;       0.0027;    -0.013949;     0.000001;    1325.0648;     -18.4842;   3732009496
2.0000000e+003;    1329.5795;       0.0084;    -0.013166;     0.000001;    1329.4642;     -17.5050;   3732009497
1.0000000e+003;    1336.5997;       0.0063;    -0.012158;     0.000001;    1336.5009;     -16.2501;   3732009498
9.0000000e+002;    1337.6494;       0.0015;    -0.012042;     0.000001;    1337.5524;     -16.1081;   3732009499
8.0000000e+002;    1338.7926;       0.0036;    -0.011924;     0.000002;    1338.6974;     -15.9634;   3732009500
7.0000000e+002;    1340.0729;       0.0029;    -0.011808;     0.000002;    1339.9795;     -15.8238;   3732009501
6.0000000e+002;    1341.5477;       0.0039;    -0.011696;     0.000001;    1341.4560;     -15.6904;   3732009501
5.0000000e+002;    1343.2848;       0.0020;    -0.011588;     0.000002;    1343.1947;     -15.5662;   3732009502
4.0000000e+002;    1345.3586;       0.0003;    -0.011498;     0.000001;    1345.2697;     -15.4687;   3732009503
3.0000000e+002;    1348.0339;       0.0027;    -0.011447;     0.000001;    1347.9456;     -15.4304;   3732009504
2.0000000e+002;    1351.8314;       0.0010;    -0.011489;     0.000000;    1351.7422;     -15.5308;   3732009505
1.0000000e+002;    1358.5069;       0.0016;    -0.011838;     0.000004;    1358.4117;     -16.0823;   3732009506
9.0000000e+001;    1359.5408;       0.0031;    -0.011917;     0.000001;    1359.4443;     -16.2008;   3732009507
8.0000000e+001;    1360.7235;       0.0014;    -0.012017;     0.000002;    1360.6252;     -16.3517;   3732009507
7.0000000e+001;    1362.0858;       0.0008;    -0.012131;     0.000001;    1361.9856;     -16.5228;   3732009508
6.0000000e+001;    1363.6767;       0.0069;    -0.012281;     0.000000;    1363.5739;     -16.7466;   3732009509
5.0000000e+001;    1365.6381;       0.0045;    -0.012468;     0.000001;    1365.5320;     -17.0260;   3732009510
4.0000000e+001;    1368.0323;       0.0042;    -0.012717;     0.000000;    1367.9216;     -17.3973;   3732009511
