             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
4.5000000e+004;     774.9329;       0.0042;    -2.582738;     0.000002;    -657.0367;    -410.8817;   3732009487
4.0000000e+004;     755.8104;       0.0016;    -2.552728;     0.000006;    -628.5108;    -419.7899;   3732009488
3.0000000e+004;     711.0470;       0.0035;    -2.465083;     0.000004;    -554.4479;    -445.1690;   3732009489
2.0000000e+004;     648.0769;       0.0018;    -2.295438;     0.000006;    -429.5887;    -485.2393;   3732009489
1.0000000e+004;     549.4585;       0.0041;    -1.878949;     0.000015;    -166.6502;    -523.5765;   3732009490
9.0000000e+003;     537.1291;       0.0025;    -1.801781;     0.000007;    -122.9681;    -522.8638;   3732009491
8.0000000e+003;     525.2298;       0.0020;    -1.714220;     0.000005;     -75.0723;    -519.8369;   3732009492
7.0000000e+003;     513.5753;       0.0032;    -1.610917;     0.000010;     -20.5995;    -513.1620;   3732009493
6.0000000e+003;     503.6188;       0.0020;    -1.491590;     0.000012;      39.8483;    -502.0399;   3732009494
5.0000000e+003;     496.2177;       0.0020;    -1.350766;     0.000004;     108.3043;    -484.2543;   3732009495
4.0000000e+003;     492.8296;       0.0016;    -1.179246;     0.000005;     188.0744;    -455.5316;   3732009495
3.0000000e+003;     497.3043;       0.0026;    -0.975525;     0.000009;     278.8553;    -411.7660;   3732009496
2.0000000e+003;     513.5978;       0.0015;    -0.727655;     0.000010;     383.5221;    -341.6044;   3732009497
1.0000000e+003;     546.7932;       0.0025;    -0.420882;     0.000006;     499.0739;    -223.4011;   3732009498
9.0000000e+002;     551.1626;       0.0024;    -0.385922;     0.000002;     510.6256;    -207.4651;   3732009499
8.0000000e+002;     555.7230;       0.0013;    -0.349871;     0.000005;     522.0556;    -190.4890;   3732009500
7.0000000e+002;     560.4851;       0.0007;    -0.312857;     0.000001;     533.2782;    -172.5048;   3732009501
6.0000000e+002;     565.4036;       0.0013;    -0.275058;     0.000001;     544.1498;    -153.5651;   3732009501
5.0000000e+002;     570.5130;       0.0018;    -0.235683;     0.000003;     554.7412;    -133.2189;   3732009502
4.0000000e+002;     575.8315;       0.0010;    -0.195085;     0.000001;     564.9086;    -111.6252;   3732009503
3.0000000e+002;     581.3763;       0.0005;    -0.153341;     0.000004;     574.5546;     -88.7998;   3732009504
2.0000000e+002;     587.3863;       0.0029;    -0.110023;     0.000003;     583.8347;     -64.4957;   3732009505
1.0000000e+002;     594.6960;       0.0021;    -0.064174;     0.000005;     593.4718;     -38.1379;   3732009506
