f;Abs(Zm);Std(Abs);Phi(Zm); Std(Phi);Re(Zm);Im(Zm);Time [s];phase (mrad);resistivity (Ohm.m);conductivity (mS/m);real c (mS/m);im c (uS/m)
0.01;657.2572;0.3759;-0.007279;9.2e-05;657.2397;-4.7844;3732010781;-7.279;14.906593296;67.08440890168632;67.08263171470577;488.3031003397486
0.02;655.8461;0.0753;-0.011138;8e-05;655.8054;-7.3047;3732010932;-11.138;14.874589547999998;67.22874582676855;67.22457583736703;748.7782891738766
0.03;654.1091;0.0409;-0.013104;8.7e-05;654.0529;-8.5712;3732011033;-13.104;14.835194388000001;67.40727312672675;67.40148579579066;883.2796278464045
0.04;652.6899;0.0667;-0.014207;9.1e-05;652.624;-9.2727;3732011109;-14.206999999999999;14.803006931999999;67.55384258033935;67.54702520009222;959.7051564812781
0.05;651.5817;0.0797;-0.014916;8.4e-05;651.5092;-9.7189;3732011170;-14.916;14.777872956;67.66873710292573;67.66120953344222;1009.3094552741982
0.06;650.6238;0.0649;-0.015362;5.7e-05;650.547;-9.9947;3732011221;-15.362;14.756147784;67.76836438872576;67.76036818244924;1041.0166675105668
0.07;649.7987;0.0785;-0.015611;3.9e-05;649.7196;-10.1437;3732011265;-15.611;14.737434516;67.85441515715162;67.84614715190621;1059.232250725493
0.08;649.0587;0.0611;-0.015762;1.3e-05;648.9781;-10.2302;3732011303;-15.762000000000002;14.720651316000001;67.93177683062783;67.92333849814013;1070.6963310383085
0.09;648.422;0.0501;-0.015808;8e-06;648.341;-10.25;3732011337;-15.808;14.70621096;67.99848055491242;67.98998456431183;1074.8752120326724
0.1;647.8424;0.0235;-0.015878;1e-05;647.7607;-10.2857;3732011368;-15.878;14.693065632;68.05931621390856;68.05073714696294;1080.600416321203
0.2;642.7802;0.0368;-0.015765;0.000152;642.7003;-10.1327;3732011384;-15.765;14.578254936;68.59531572126431;68.58679172169599;1081.360358356904
0.3;640.0926;0.0317;-0.014998;4.6e-05;640.0206;-9.5998;3732011395;-14.998;14.517300168;68.88333150293789;68.87558433972819;1033.0734749393846
0.4;638.3091;0.0151;-0.014572;1.6e-05;638.2413;-9.301;3732011404;-14.572;14.476850387999999;69.07579847816274;69.06846472044381;1006.5369126658188
0.5;637.0279;0.0088;-0.014195;2e-06;636.9637;-9.0424;3732011411;-14.194999999999999;14.447792772;69.21472475283645;69.20775155475879;982.4700227959944
0.6;636.0449;0.0055;-0.013908;6e-06;635.9833;-8.8458;3732011416;-13.908;14.425498331999998;69.32169530543744;69.31499088034381;964.0950563928815
0.7;635.2246;0.0054;-0.013697;6e-06;635.165;-8.7005;3732011422;-13.697000000000001;14.406893927999999;69.41121417271533;69.40470323160275;950.695673550975
0.8;634.5425;0.0023;-0.013537;3e-06;634.4844;-8.5897;3732011426;-13.537;14.3914239;69.48582759764308;69.479461043093;940.6009199974977
0.9;633.9592;0.0008;-0.013417;6e-06;633.9022;-8.5055;3732011431;-13.417;14.378194656;69.54976086533237;69.54350092822462;933.1211448367777
1.0;633.4432;0.0024;-0.013318;0.0;633.387;-8.4361;3732011434;-13.318;14.366491776;69.60641578973052;69.60024286647513;926.9908416616395
2.0;630.1581;0.0021;-0.013262;1e-06;630.1027;-8.3572;3732011437;-13.261999999999999;14.291985707999999;69.96928351532327;69.96313048418487;927.9054373210956
3.0;628.3419;0.0028;-0.013775;2e-06;628.2823;-8.655;3732011439;-13.775;14.250794291999998;70.17152725033525;70.1648698100309;966.5822189332879
4.0;627.0616;0.0018;-0.014455;2e-06;626.9961;-9.0642;3732011440;-14.455;14.221757087999999;70.31479962794315;70.30745372175538;1016.3650333507454
5.0;626.0502;0.0007;-0.015174;1e-06;625.9781;-9.4995;3732011442;-15.174;14.198818536;70.42839497276324;70.42028704964564;1068.6394551268268
6.0;625.2057;0.0018;-0.015905;2e-06;625.1266;-9.9433;3732011443;-15.905;14.179665276;70.52352651035879;70.5146065645299;1121.629398169015
7.0;624.4682;0.0016;-0.016636;1e-06;624.3818;-10.3882;3732011444;-16.636000000000003;14.162938775999999;70.60681514027044;70.59704491822862;1174.5607970357573
8.0;623.8238;0.0016;-0.017368;1e-06;623.7297;-10.834;3732011446;-17.368000000000002;14.148323784;70.67975085012375;70.66909093570266;1227.5041983465271
9.0;623.2327;0.0018;-0.0181;2e-06;623.1306;-11.2798;3732011447;-18.1;14.134917636;70.74678648661634;70.73519812563299;1280.4469181996367
10.0;622.7037;0.0033;-0.01881;1e-06;622.5935;-11.7124;3732011448;-18.81;14.122919916;70.80688738219706;70.79436144315348;1331.7990130950493
20.0;618.8779;0.0038;-0.025606;3e-06;618.675;-15.8454;3732011449;-25.606;14.036150772;71.24460375524384;71.22124865517145;1824.0899758357525
30.0;616.3161;0.0011;-0.031952;1e-06;616.0015;-19.6891;3732011450;-31.952;13.978049148;71.5407414448161;71.50422549620542;2285.480838212299
40.0;614.3045;0.0002;-0.038005;1e-06;613.8609;-23.3411;3732011451;-38.004999999999995;13.93242606;71.77500858023573;71.72317962473488;2727.1525829936113
50.0;612.5968;0.0014;-0.043923;0.0;612.0059;-26.8985;3732011452;-43.922999999999995;13.893695424;71.97509154206719;71.90567445289823;3160.345544837022
60.0;611.4477;0.0014;-0.049683;2e-06;610.6933;-30.3658;3732011453;-49.683;13.867633836000001;72.11035507759277;72.02137476523811;3581.1850471083712
70.0;610.1627;0.003;-0.055341;8e-06;609.2286;-33.7501;3732011453;-55.341;13.838490036;72.26221917265252;72.1515913255085;3997.022510979361
80.0;608.9861;0.0024;-0.060928;2e-06;607.8561;-37.0814;3732011454;-60.928000000000004;13.811804748;72.40183439060009;72.26749014625167;4408.570186046484
90.0;607.8848;0.0015;-0.066391;2e-06;606.5456;-40.3282;3732011455;-66.391;13.786827264000001;72.5330042112871;72.37320870497219;4812.001835113122
100.0;606.8414;0.0017;-0.071844;5e-06;605.276;-43.5603;3732011456;-71.84400000000001;13.763162952;72.65771708782134;72.47028413386133;5215.531609653321
200.0;598.8033;0.0007;-0.124254;3e-06;594.1867;-74.2127;3732011457;-124.254;13.580858844;73.63304570695824;73.06536426621314;9125.676124462625
300.0;592.1063;0.0025;-0.174043;3e-06;583.1612;-102.5327;3732011458;-174.043;13.428970884;74.46586999391397;73.3408924588747;12894.932620462665
400.0;585.933;0.0031;-0.221801;1e-06;571.5793;-128.8976;3732011459;-221.801;13.288960439999999;75.25043095094051;73.40700874878715;16554.105981832814
500.0;580.0564;0.0013;-0.267985;6e-06;559.3521;-153.5923;3732011460;-267.98499999999996;13.155679152000001;76.0127993732634;73.29962916721281;20127.34539150848
600.0;574.458;0.0022;-0.312401;5e-06;546.6533;-176.5565;3732011460;-312.401;13.02870744;76.75358469788465;73.03858684218847;23589.77736375324
700.0;569.0744;0.0011;-0.355713;3e-06;533.4494;-198.1853;3732011461;-355.713;12.906607392;77.47969467327545;72.62934325838216;26982.98694585322
800.0;563.9504;0.0012;-0.397401;3e-06;520.0018;-218.2617;3732011462;-397.401;12.790395071999997;78.18366785160084;72.09081307922675;30258.892714463855
900.0;559.0362;0.0009;-0.438177;5e-06;506.2221;-237.1933;3732011463;-438.17699999999996;12.678941016;78.87094030471985;71.41973812313442;33464.10361825911
1000.0;554.3963;0.001;-0.477879;5e-06;492.2886;-254.965;3732011464;-477.879;12.573708083999998;79.5310335916337;70.62135963463962;36576.069601700816
2000.0;521.4094;0.0001;-0.823061;6e-06;354.548;-382.3134;3732011465;-823.061;11.825565192;84.56255441190248;57.500843828513005;62003.859296619
3000.0;508.787;0.0015;-1.096247;5e-06;232.4837;-452.5655;3732011466;-1096.247;11.53928916;86.66045075518326;39.59842014629136;77084.36188364882
4000.0;509.0684;0.0016;-1.315466;1.5e-05;128.5729;-492.5644;3732011466;-1315.4660000000001;11.545671312;86.61254707300124;21.875301414399928;83804.56132277053
5000.0;516.6549;0.0025;-1.493158;1e-05;40.0718;-515.0986;3732011467;-1493.158;11.717733132000001;85.3407385827124;6.619057845166692;85083.66315036744
6000.0;527.9755;0.0002;-1.638195;5e-06;-35.5581;-526.7768;3732011468;-1638.1950000000002;11.97448434;83.51090298390251;-5.624263689161974;83321.29724831192
